result_set,model_id,label,decode_label,bucket,bleu,chrf,examples,avg_source_length,avg_reference_length,avg_hypothesis_length,hyp_ref_length_ratio,shorter_than_ref_ratio,longer_than_ref_ratio,equal_length_ratio,avg_abs_length_delta
greedy,lstm_no_attention,LSTM no attention,greedy,1-10,25.558532133563535,47.6402398692719,283,8.92226148409894,8.53356890459364,8.173144876325088,0.9577639751552796,0.44876325088339225,0.2756183745583039,0.2756183745583039,1.4770318021201414
greedy,lstm_no_attention,LSTM no attention,greedy,11-20,20.468088012910687,43.8362850569779,661,13.933434190620272,13.039334341906203,12.645990922844176,0.9698340874811463,0.43872919818456885,0.3691376701966717,0.19213313161875945,2.096822995461422
greedy,lstm_no_attention,LSTM no attention,greedy,21-30,11.218435442423585,36.821280586477535,54,23.685185185185187,21.35185185185185,21.537037037037038,1.0086730268863833,0.3888888888888889,0.5185185185185185,0.09259259259259259,2.888888888888889
greedy,lstm_no_attention,LSTM no attention,greedy,31+,15.25997183583147,44.43036668260933,2,33.0,31.0,32.0,1.032258064516129,0.5,0.5,0.0,4.0
greedy,lstm_attention,LSTM attention,greedy,1-10,30.46948001977767,51.53753490576701,283,8.92226148409894,8.53356890459364,8.137809187279151,0.9536231884057971,0.4452296819787986,0.24734982332155478,0.30742049469964666,1.3992932862190812
greedy,lstm_attention,LSTM attention,greedy,11-20,28.32325482799048,50.30879622232495,661,13.933434190620272,13.039334341906203,12.405446293494705,0.9513864717484627,0.5052950075642966,0.27685325264750377,0.2178517397881997,1.86535552193646
greedy,lstm_attention,LSTM attention,greedy,21-30,14.429207152356163,40.183220446094225,54,23.685185185185187,21.35185185185185,21.074074074074073,0.986990459670425,0.48148148148148145,0.46296296296296297,0.05555555555555555,2.9444444444444446
greedy,lstm_attention,LSTM attention,greedy,31+,20.021033224005446,51.277279286948406,2,33.0,31.0,32.5,1.0483870967741935,0.5,0.5,0.0,4.5
greedy,gated_attention,Gated attention,greedy,1-10,29.872556471295614,51.80768552348892,283,8.92226148409894,8.53356890459364,8.120141342756185,0.9515527950310559,0.4558303886925795,0.26148409893992935,0.2826855123674912,1.452296819787986
greedy,gated_attention,Gated attention,greedy,11-20,26.740790437732567,50.16309945502226,661,13.933434190620272,13.039334341906203,12.600605143721634,0.9663534052674324,0.46444780635400906,0.3328290468986384,0.2027231467473525,1.9334341906202723
greedy,gated_attention,Gated attention,greedy,21-30,12.830758668142705,41.20428904715076,54,23.685185185185187,21.35185185185185,21.98148148148148,1.0294882914137033,0.35185185185185186,0.5740740740740741,0.07407407407407407,3.259259259259259
greedy,gated_attention,Gated attention,greedy,31+,24.80371776846363,54.0444226909426,2,33.0,31.0,30.5,0.9838709677419355,0.5,0.5,0.0,1.5
greedy,transformer_small,Small Transformer,greedy,1-10,32.98574528569704,57.01838165095276,283,8.92226148409894,8.53356890459364,8.484098939929329,0.9942028985507246,0.38869257950530034,0.3003533568904594,0.31095406360424027,1.3851590106007068
greedy,transformer_small,Small Transformer,greedy,11-20,25.748331387810946,52.05604918962807,661,13.933434190620272,13.039334341906203,12.611195158850228,0.9671655644506323,0.4720121028744327,0.3388804841149773,0.18910741301059,2.2193645990922843
